Company ID,Company Name,Stock Code,ALT_Company_Name
1,APPLE INC.,AAPL,APPLE INC
2,ADOBE INC.,ADBE,ADOBE INC.
3,ANALOG DEVICES CMN,ADI,ANALOG DEVICES INC
4,AUTODESK INC,ADSK,"AUTODESK, INC."
5,APPLIED MATERIALS,AMAT,APPLIED MATERIALS INC /DE
6,ADV MICRO DEVICES,AMD,ADVANCED MICRO DEVICES INC
7,ANSYS INC,ANSS,ANSYS INC
8,ASML HLDG NY REG,ASML,
9,BROADCOM INC.,AVGO,BROADCOM INC.
10,"BAIDU, INC.",BIDU,
11,CADENCE DESIGN SYS,CDNS,CADENCE DESIGN SYSTEMS INC
12,CDW CORPORATION,CDW,CDW CORP
13,CERNER CORP,CERN,CERNER CORP
14,CHECK POINT SOFTWARE,CHKP,CHECK POINT SOFTWARE TECHNOLOGIES LTD
15,CISCO SYSTEMS INC,CSCO,"CISCO SYSTEMS, INC."
16,COGNIZANT TECH SOL,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP
17,CITRIX SYSTEMS INC,CTXS,CITRIX SYSTEMS INC
18,"DOCUSIGN, INC. CMN",DOCU,"DOCUSIGN, INC."
19,FACEBOOK INC,FB,FACEBOOK INC
20,ALPHABET CL C CAP,GOOG,
21,ALPHABET CL A CMN,GOOGL,ALPHABET INC.
22,INTEL CORP,INTC,INTEL CORP
23,INTUIT INC,INTU,INTUIT INC
24,KLA CP CMN STK,KLAC,KLA CORP
25,LAM RESEARCH CORP,LRCX,LAM RESEARCH CORP
26,MICROCHIP TECHNOLOGY,MCHP,MICROCHIP TECHNOLOGY INC
27,MICROSOFT CORP,MSFT,MICROSOFT CORP
28,MICRON TECHNOLOGY,MU,MICRON TECHNOLOGY INC
29,MAXIM INTEGRATED,MXIM,MAXIM INTEGRATED PRODUCTS INC
30,NETEASE INC ADS,NTES,"NETEASE, INC."
31,NVIDIA CORPORATION,NVDA,NVIDIA CORP
32,NXP SEMICONDUCTORS,NXPI,NXP SEMICONDUCTORS N.V.
33,QUALCOMM INC,QCOM,QUALCOMM INC/DE
34,"SYNOPSYS, INC.",SNPS,SYNOPSYS INC
35,SPLUNK INC.,SPLK,SPLUNK INC
36,SKYWORKS SOLUTIONS,SWKS,SKYWORKS SOLUTIONS INC
37,TEXAS INSTRUMENTS,TXN,TEXAS INSTRUMENTS INC
38,"VERISIGN, INC.",VRSN,VERISIGN INC/CA
39,WORKDAY INC CL A,WDAY,"WORKDAY, INC."
40,WESTERN DIGITAL CP,WDC,WESTERN DIGITAL CORP
41,"XILINX, INC.",XLNX,XILINX INC
42,Alibaba Group holding Limited,BABA,
43,"Tesla, Inc.",TSLA,"TESLA, INC."
44,"salesforce.com, inc.",CRM,"SALESFORCE.COM, INC."
45,"PayPal Holdings, Inc.",PYPL,"PAYPAL HOLDINGS, INC."
46,"Activision Blizzard, Inc.",ATVI,"ACTIVISION BLIZZARD, INC."
47,Electronic Arts Ind.,EA,ELECTRONIC ARTS INC.
48,"Match Group, Inc.",MTCH,"MATCH GROUP, INC."
49,"Zillow Group, Inc.",ZG,"ZILLOW GROUP, INC."
50,"The Trade Desk, Inc.",TTD,"TRADE DESK, INC."
51,Yelp Inc.,TELP,YELP INC
52,TiVo Corporation,TIVO,TIVO CORP
53,Amazon,AMZN,AMAZON COM INC
54,Taiwan Semiconductor Manufacturing,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD
55,Oracle Corporation,ORCL,ORACLE CORP
56,SAP SE,SAP,
57,IBM,IBM,INTERNATIONAL BUSINESS MACHINES CORP
58,VMWARE INC,VMW,"VMWARE, INC."
59,HP INC,HPQ,HP INC
60,3D SYSTEMS CORPORATION ,DDD,3D SYSTEMS CORP
61,"ACI WORLDWIDE, INC. ",ACIW,"ACI WORLDWIDE, INC."
62,"ADTRAN, INC. ",ADTN,ADTRAN INC
63,"AKAMAI TECHNOLOGIES, IN.. ",AKAM,AKAMAI TECHNOLOGIES INC
64,ALLSCRIPTS HEALTHCARE S.. ,MDRX,"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC."
65,ALTAIR ENGINEERING INC. ,ALTR,ALTAIR ENGINEERING INC.
66,AMDOCS LIMITED ,DOX,
67,"ASPEN TECHNOLOGY, INC. ",AZPN,ASPEN TECHNOLOGY INC /DE/
68,CACI INTERNATIONAL INC ,CACI,CACI INTERNATIONAL INC /DE/
69,CIENA CORPORATION ,CIEN,CIENA CORP
70,"CIRRUS LOGIC, INC. ",CRUS,"CIRRUS LOGIC, INC."
71,"COMMVAULT SYSTEMS, INC. ",CVLT,COMMVAULT SYSTEMS INC
72,CORNING INCORPORATED ,GLW,CORNING INC /NY
73,"CREE, INC. ",CREE,"CREE, INC."
74,"DIEBOLD NIXDORF, INCORP.. ",DBD,"DIEBOLD NIXDORF, INC"
75,"EQUINIX, INC. (REIT) ",EQIX,EQUINIX INC
76,"F5 NETWORKS, INC. ",FFIV,"F5 NETWORKS, INC."
77,FAIR ISAAC CORPORATION ,FICO,FAIR ISAAC CORP
78,"FORTINET, INC. ",FRINC,"FORTINET, INC."
79,GARMIN LTD ,GRMN,GARMIN LTD
80,GARTNER INC ,IT,GARTNER INC
81,"GUIDEWIRE SOFTWARE, INC.. ",GWRE,"GUIDEWIRE SOFTWARE, INC."
82,"INTERDIGITAL, INC. ",IDCC,"INTERDIGITAL, INC."
83,"J2 GLOBAL, INC. ",JCOM,"J2 GLOBAL, INC."
84,"JUNIPER NETWORKS, INC. ",JNPR,JUNIPER NETWORKS INC
85,"L3HARRIS TECHNOLOGIES, .. ",LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/"
86,"LEIDOS HOLDINGS, INC. ",LDOS,"LEIDOS HOLDINGS, INC."
87,MARVELL TECHNOLOGY GROU.. ,MRVL,MARVELL TECHNOLOGY GROUP LTD
88,"MOTOROLA SOLUTIONS, INC.. ",MSI,"MOTOROLA SOLUTIONS, INC."
89,NCR CORPORATION ,NCR,NCR CORP
90,"NETAPP, INC. ",NTAP,"NETAPP, INC."
91,NORTONLIFELOCK INC. ,NLOK,NORTONLIFELOCK INC.
92,"NUANCE COMMUNICATIONS, .. ",NUAN,"NUANCE COMMUNICATIONS, INC."
93,ON SEMICONDUCTOR CORPOR.. ,ON,ON SEMICONDUCTOR CORP
95,"PALO ALTO NETWORKS, INC.. ",PANW,PALO ALTO NETWORKS INC
96,PITNEY BOWES INC. ,PBI,PITNEY BOWES INC /DE/
97,"PLANTRONICS, INC. ",PLT,PLANTRONICS INC /CA/
98,PROGRESS SOFTWARE CORPO.. ,PRGS,PROGRESS SOFTWARE CORP /MA
99,PTC INC. ,PTC,PTC INC.
101,SCIENCE APPLICATIONS IN.. ,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORP
102,SEAGATE TECHNOLOGY PLC ,STX,SEAGATE TECHNOLOGY PLC
103,SEMTECH CORPORATION ,SMTC,SEMTECH CORP
104,SERVICENOW INC. ,NOW,"SERVICENOW, INC."
105,SILICON LABORATORIES IN.. ,SLAB,SILICON LABORATORIES INC.
106,SS&C TECHNOLOGIES HOLDI.. ,SSNC,
107,SYNAPTICS INCORPORATED ,SYNA,
108,TERADATA CORPORATION ,TDC,TERADATA CORP /DE/
109,"TERADYNE, INC. ",TER,"TERADYNE, INC"
110,TWITTER ,TWTR,"TWITTER, INC."
111,"TYLER TECHNOLOGIES, INC.. ",TYL,TYLER TECHNOLOGIES INC
112,"VIASAT, INC. ",VSAT,VIASAT INC
113,VIAVI SOLUTIONS INC. ,VIAV,VIAVI SOLUTIONS INC.
